Symbol,ATR%,BB_Width%,Inside_Bar_%,RSI_Slope,Price_Slope,Volume_Confirm,RSI_Reversal,Avg_Forward_3d,Avg_Forward_5d,Avg_Forward_10d,Behavior
DOLATALGO.NS,0.05258245700447245,0.28628232556273886,0.14634146341463414,0.3279005620094457,0.002232618934670804,True,True,-0.0066563843118403665,-0.011793192418293429,-0.02520357186388254,Reversal
WAAREEENER.NS,0.04538548230353072,0.23999525026607685,0.12195121951219512,0.0896836470343649,0.00433368436003162,True,False,0.003949764325732547,0.005347059960279121,0.0038037118433585917,Choppy
MAMATA.NS,0.05540941854631814,0.2549176837834699,0.1619047619047619,0.4696806341310842,0.0025165024200711397,True,True,-0.006137062515517325,-0.011541513944728455,-0.027661725895371643,Reversal
INDOTECH.NS,0.05507707506597622,0.3188676621480528,0.11382113821138211,-0.2288258697055493,-0.005347006203599652,True,True,-0.005214358087010438,-0.008576153538293198,-0.018032708716413295,Reversal
INDIAMART.NS,0.029254601507280667,0.1320068546706946,0.14634146341463414,0.2058628151490407,0.0016743232272043353,False,False,0.0002280234689676077,0.00023049822980330433,0.0010519685367627906,Choppy
AJAXENGG.NS,0.044429944925045206,0.16065942375980943,0.25,-0.369024376081672,-0.0010168371085332367,False,True,0.005153935817286265,0.009892996677032188,0.022013013971856146,Choppy
BANCOINDIA.NS,0.05070773562293765,0.30292660229576085,0.12195121951219512,0.5828953020740714,0.013405287836763476,False,True,0.003536007440484214,0.005835500797962364,0.012883550979548233,Choppy
MONARCH.NS,0.04562618386996509,0.18168805308533095,0.17886178861788618,0.04056790788167497,-0.0018260749690738657,False,False,-0.007002513370835495,-0.01242914469750987,-0.026780197393647013,Choppy
NATCOPHARM.NS,0.03510698010446891,0.280309701806511,0.17073170731707318,0.14169841830551638,0.001016122011625124,False,True,-0.009894754130000105,-0.0165269255350461,-0.0364321589403961,Choppy
SRM.NS,0.058003014669490885,0.20382551029277599,0.17886178861788618,0.13701010148934514,0.006271444262187748,True,True,0.007607529810514378,0.011786572463308284,0.02157716387247834,Reversal
TRANSRAILL.NS,0.05674814984548703,0.22674209704687256,0.14285714285714285,0.30430125921860995,0.0080387479723901,False,True,0.00560724087296558,0.007216626615661768,0.0007758792803373969,Choppy
KINGFA.NS,0.05077970553473545,0.1750454158105206,0.16260162601626016,-0.01396511275008576,0.0037557121213074598,False,False,0.0025311777599434943,0.0034444550366852064,0.005200874903861559,Choppy
MASTERTR.NS,0.06308180703300394,0.22960767568070178,0.1951219512195122,0.02625823555314697,0.0065126008572181085,False,True,-0.0007842096574861938,-0.00202036597850351,-0.004679323308391981,Choppy
MACPOWER.NS,0.04381988726836304,0.3666386654613642,0.15447154471544716,0.1008122445315843,0.003907927242545223,False,False,-0.007033730431569681,-0.013222008668655954,-0.030618939868911937,Choppy
KOTHARIPET.NS,0.05223699272911869,0.19399711685750182,0.10569105691056911,0.11862319257728995,0.00025610325703617,True,False,-0.004012562416732152,-0.007583939480181147,-0.01916918212508809,Choppy
FORCEMOT.NS,0.042369409555217036,0.18116198818078122,0.10569105691056911,0.3132864226610284,0.007942199283224472,False,False,0.01566834124772643,0.02446792385446323,0.04702513032707104,Choppy
TANLA.NS,0.04305394034307715,0.24276744959377883,0.18699186991869918,0.4507806976758499,0.008210236270327537,False,True,-0.002055928974694504,-0.0046801209916875015,-0.013099737282810284,Choppy
POKARNA.NS,0.06185002559620774,0.3558751758913487,0.14634146341463414,0.33402459135029156,0.005221023829843167,True,True,0.0015245430628661933,0.0030012194380106497,-0.0025430744556013307,Uptrend
ELECON.NS,0.049626915345743754,0.26171845221797974,0.12195121951219512,0.014193657437977679,0.01092721902354535,False,True,0.003968891809657984,0.006527253602621461,0.01194073287906531,Choppy
TARIL.NS,0.0549432227667285,0.2894239850700032,0.11382113821138211,-0.10973590691535874,-0.0011616316666343018,False,True,0.003925027576069584,0.005724477643403736,0.006325093132586181,Choppy
MAPMYINDIA.NS,0.03505733325462358,0.11369311754077316,0.15447154471544716,-0.03790578712307635,0.004358995766964519,False,True,0.005431323804016352,0.008832430767553377,0.014548702275464257,Choppy
LIKHITHA.NS,0.043446162477721054,0.18977170019739084,0.13008130081300814,0.15758519366438908,2.2647239198890216e-05,True,True,-0.004369993054221735,-0.010470522881534931,-0.026648884172703065,Reversal
SUPRIYA.NS,0.05493323677206813,0.2343195303775755,0.0975609756097561,0.25890235625858615,0.0016836852560349845,True,True,-7.25373248709175e-05,0.0002058872996418421,-0.000805129049361414,Reversal
STYLAMIND.NS,0.04609050521674763,0.20658660679320587,0.12195121951219512,0.028678975040506316,0.0008051714482071452,False,True,-0.009712694381410194,-0.014602134107645938,-0.028898867239568037,Choppy
EMSLIMITED.NS,0.04853436543174853,0.19844825683262665,0.0975609756097561,-0.08674648066583276,-0.0006426346387182753,True,False,-0.006279440838513255,-0.010153308002695883,-0.023596267184860326,Choppy
DYCL.NS,0.0639758696422777,0.30465995716563277,0.2032520325203252,0.16258154502091593,0.016315344935945462,False,False,0.0018300496329548314,0.002301337245897791,0.004854911279315141,Choppy
SHRIPISTON.NS,0.04114709434440483,0.17162009252064617,0.17886178861788618,0.24052533078685984,0.01084763894164789,False,True,0.004087872561632296,0.007144401636877147,0.01359023412097702,Choppy
CAPLIPOINT.NS,0.04471482059585847,0.19853639574783946,0.11382113821138211,0.08692114378141974,0.0062430033946956525,False,False,-0.00026995326478608067,-0.0009918746581873907,-0.004120569021082451,Choppy
REFEX.NS,0.04549874495149824,0.2083574887375857,0.12195121951219512,0.3940108744153438,-0.0019864754946944856,True,True,-0.003591835792887859,-0.006046472221793853,-0.01704105532718394,Reversal
EPIGRAL.NS,0.04684655185228943,0.19137533124100886,0.08130081300813008,0.03660943602510324,-0.00037295306784097435,False,False,-0.0025605186711998526,-0.004015937277224783,-0.008240090258786017,Choppy
JASH.NS,0.050782654024882634,0.17742835894233833,0.17073170731707318,-0.02685685684956484,-0.006445305899794615,False,False,-0.0011881429079957308,-0.0029084583452535845,-0.006825854137303536,Choppy
VBL.NS,0.034004359762367216,0.18309476878119194,0.12195121951219512,-0.10232595202669825,-0.005532358026778684,True,False,-0.005600450892209322,-0.009840807742156314,-0.021458110641437968,Choppy
AGIIL.NS,0.047485118214038495,0.15622659830322647,0.16260162601626016,-0.18650626567250247,0.0017583321619206846,True,False,0.0014723448809016327,0.0016994825192476418,0.0002774221610948971,Choppy
GRAVITA.NS,0.049528136207596093,0.21166842125550753,0.2032520325203252,-0.19737567563142613,0.0008839930707987047,False,True,-0.0013973655747308272,-0.002813805254506747,-0.006688398582727812,Choppy
EMKAY.NS,0.02222095762233385,0.2656211146950366,0.032520325203252036,0.4269807319435877,0.0030535494375937703,False,True,-0.009061950584961743,-0.015578477758086408,-0.03581505624294293,Choppy
ARVSMART.NS,0.04668835976985236,0.1992687811696549,0.11382113821138211,0.2611346758675326,0.000555113209684132,True,False,-0.007919952581167327,-0.012936746483202968,-0.026079090210039395,Choppy
